GEOID;Population;Year
0801902146;1140;2016
0801902147;2173;2016
0801902148;1584;2016
0801902149;1820;2016
0801902150;1507;2016
0801902151;1461;2016
0801902152;1238;2016
0801902153;1317;2016
0801902154;1044;2016
0801902155;1875;2016
0801902156;1284;2016
0801902157;1200;2016
0801902158;1610;2016
0801902159;1826;2016
0801902160;2026;2016
0801902161;1122;2016
0801902162;1381;2016
0801902163;1813;2016
0801902164;1430;2016
0801902165;1643;2016
0801902166;2150;2016
0801902167;2119;2016
0801902168;2184;2016
0801902169;1574;2016
0801902170;1571;2016
0801902171;1643;2016
0801902172;1596;2016
0801902173;1570;2016
0801903001;1650;2016
0801903002;2036;2016
0801903003;1673;2016
0801903004;1552;2016
0801903005;1248;2016
0801903006;1390;2016
0801903007;1760;2016
0801903008;1218;2016
0801903009;1224;2016
0801903010;1860;2016
0801903011;1732;2016
0801903012;2093;2016
0801903013;1871;2016
0801903014;1902;2016
0801903015;2965;2016
0801903016;1198;2016
0801903017;1653;2016
0801903018;1709;2016
0801903019;1492;2016
0801903020;1204;2016
0801903021;1143;2016
0801903022;1441;2016
0801903023;2021;2016
0801903024;2020;2016
0801903025;1143;2016
0801903026;996;2016
0801903027;1798;2016
0801903028;2314;2016
0801903029;1284;2016
0801903030;1580;2016
0801903031;2495;2016
0801903032;1595;2016
0801903033;1404;2016
0801903034;1519;2016
0801903035;2314;2016
0801903036;2361;2016
0801903037;1093;2016
0801903038;1125;2016
0801903039;2305;2016
0801903040;1520;2016
0801903041;1380;2016
0801903042;1377;2016
0801903043;1631;2016
0801903044;1911;2016
0801903045;1045;2016
0801903046;1438;2016
0801903047;1806;2016
0801903048;1370;2016
0801903049;1695;2016
0801903050;1581;2016
0801903051;1805;2016
0801903052;1292;2016
0801903053;2164;2016
0801903054;1787;2016
0801903055;1569;2016
0801903056;820;2016
0801903057;1524;2016
0801903058;1356;2016
0801903059;1211;2016
0801903060;1328;2016
0801903061;1087;2016
0801903062;1667;2016
0801903063;1243;2016
0801903064;1299;2016
0801903065;1400;2016
0801903066;2353;2016
0801903067;1724;2016
0801903068;1150;2016
0801903069;1170;2016
0801903070;1281;2016
0801903071;1299;2016
0801903072;1375;2016
0801903073;1562;2016
0801903074;1786;2016
0801903075;1618;2016
0801903076;1014;2016
0801903077;1282;2016
0801903078;1673;2016
0801903079;1824;2016
0801903080;1529;2016
0801903081;1870;2016
0801903082;1805;2016
0801903083;1348;2016
0801903084;1436;2016
0801903085;1204;2016
0801903086;1260;2016
0801903087;1501;2016
0801903088;1434;2016
0801903089;1197;2016
0801903090;1049;2016
0801903091;1430;2016
0801903092;1273;2016
0801903093;1540;2016
0801903094;1140;2016
0801903095;1628;2016
0801903096;1512;2016
0801903097;1654;2016
0801903098;1366;2016
0801903099;1005;2016
0801903100;1237;2016
0801903101;1803;2016
0801903102;1328;2016
0801903103;1190;2016
0801903104;1448;2016
0801903105;1179;2016
0801903106;1242;2016
0801903107;1508;2016
0801903108;1576;2016
0801903109;1494;2016
0801903110;1539;2016
0801903111;1306;2016
0801903112;1878;2016
0801903113;1626;2016
0801903114;1442;2016
0801903211;1453;2016
0801903212;2402;2016
0801903213;2347;2016
0801904001;1256;2016
0801904002;1923;2016
0801904003;1095;2016
0801904004;1009;2016
0801904005;1236;2016
0801904006;1143;2016
0801904007;1067;2016
0801904008;996;2016
0801904009;1405;2016
0801904010;943;2016
0801904011;1654;2016
0801904012;1403;2016
0801904013;1256;2016
0801904014;828;2016
0801904015;1883;2016
0801904016;1080;2016
0801904017;1108;2016
0801904018;1521;2016
0801904019;1306;2016
0801904020;1441;2016
0801904021;1267;2016
0801904022;1554;2016
0801904023;1096;2016
0801904024;1062;2016
0801904025;1171;2016
0801904026;1367;2016
0801904027;1168;2016
0801904028;1360;2016
0801904029;1232;2016
0801904030;1733;2016
0801904031;1782;2016
0801904032;1538;2016
0801904033;1169;2016
0801904034;1479;2016
0801904035;1401;2016
0801904036;1714;2016
0801904037;2102;2016
0801904038;1290;2016
0801904039;1233;2016
0801904040;1586;2016
0801904041;1312;2016
0801904042;1724;2016
0801904043;1655;2016
0801904044;1604;2016
0801904045;1404;2016
0801904046;2475;2016
0801904047;1695;2016
0801904048;1533;2016
0801904049;1162;2016
0801904050;2078;2016
0801904051;1606;2016
0801904052;2137;2016
0801904053;1609;2016
0801904054;1091;2016
0801904055;1578;2016
0801904056;1763;2016
0801904084;1359;2016
0801905001;1690;2016
0801905002;1578;2016
0801905003;1364;2016
0801905004;1122;2016
0801905005;1144;2016
0801905006;1772;2016
0801905007;1638;2016
0801905008;1610;2016
0801905009;1713;2016
0801905010;1655;2016
0801905011;1413;2016
0801905012;1402;2016
0801905013;1707;2016
0801905014;1710;2016
0801905015;1571;2016
0801905016;1871;2016
0801905017;1586;2016
0801905018;1197;2016
0801905019;1688;2016
0801905020;1116;2016
0801905021;1314;2016
0801905022;1757;2016
0801905023;1471;2016
0801905024;1898;2016
0801905025;1350;2016
0801905026;1422;2016
0801905027;1380;2016
0801905028;1580;2016
0801905029;1721;2016
0801905030;1464;2016
0801905031;1627;2016
0801905032;1789;2016
0801905033;1366;2016
0801905034;1205;2016
0801905035;1108;2016
0801905036;1728;2016
0801905037;1418;2016
0801905038;1279;2016
0801905039;1538;2016
0801905040;1435;2016
0801905041;1850;2016
0801905042;1221;2016
0801905043;1452;2016
0801905044;1306;2016
0801905045;1581;2016
0801905046;1175;2016
0801905047;1290;2016
0801905048;1297;2016
0801905049;1657;2016
0801905050;1664;2016
0801905051;1646;2016
0801905052;1524;2016
0801905053;1507;2016
0801905054;1023;2016
0801905055;1425;2016
0801905056;1210;2016
0801905057;1705;2016
0801905058;1600;2016
0801905059;1629;2016
0801905060;1128;2016
0801905061;1445;2016
0801905062;1563;2016
0801905063;1579;2016
0801905064;1588;2016
0801905065;1648;2016
0801905066;1202;2016
0801905067;1291;2016
0801905068;1520;2016
0801905069;1699;2016
0801905070;1454;2016
0801905071;1583;2016
0801905072;1641;2016
0801905073;1600;2016
0801905074;1698;2016
0801905075;1764;2016
0801905076;1336;2016
0801905077;1458;2016
0801905078;2066;2016
0801905079;1236;2016
0801905080;1367;2016
0801905081;1600;2016
0801905082;1657;2016
0801905083;1300;2016
0801905084;1338;2016
0801905085;1375;2016
0801905086;1336;2016
0801905087;1533;2016
0801905088;1728;2016
0801905089;1708;2016
0801905090;1879;2016
0801905091;1529;2016
0801905092;1494;2016
0801905093;1153;2016
0801905094;2586;2016
0801905095;1611;2016
0801905096;1084;2016
0801905097;1600;2016
0801905098;1490;2016
0801906001;1070;2016
0801906002;1454;2016
0801906003;2227;2016
0801906004;1462;2016
0801906006;1010;2016
0801906007;1901;2016
0801906008;1884;2016
0801906009;1206;2016
0801906010;1024;2016
0801906011;1249;2016
0801906012;1104;2016
0801906013;1720;2016
0801906014;1347;2016
0801906015;1396;2016
0801906016;1606;2016
0801906017;1322;2016
0801906018;1277;2016
0801906019;1514;2016
0801906020;1122;2016
0801906021;1356;2016
0801906022;1338;2016
0801906023;1317;2016
0801906024;1583;2016
0801906025;1414;2016
0801906026;1020;2016
0801906027;1177;2016
0801906028;1325;2016
0801906029;1243;2016
0801906030;1352;2016
0801906031;1089;2016
0801906032;1165;2016
0801906033;1301;2016
0801906034;1273;2016
0801906035;1021;2016
0801906036;1382;2016
0801906037;1107;2016
0801906038;1484;2016
0801906039;1591;2016
0801906040;1645;2016
0801906041;1686;2016
0801906042;1745;2016
0801906043;1260;2016
0801906044;1438;2016
0801906045;1316;2016
0801906046;1131;2016
0801906047;1778;2016
0801906048;1418;2016
0801906049;1128;2016
0801906050;1232;2016
0801906051;1320;2016
0801906052;1566;2016
0801906053;1484;2016
0801906054;1638;2016
0801906055;1412;2016
0801906056;1557;2016
0801906057;1507;2016
0801906058;1622;2016
0801906059;1453;2016
0801906060;1782;2016
0801906061;1307;2016
0801906062;1321;2016
0801906063;1505;2016
0801906064;1919;2016
0801906065;1186;2016
0801906066;970;2016
0801906067;1790;2016
0801906068;1489;2016
0801906069;1098;2016
0801906070;1868;2016
0801906071;1077;2016
0801906072;1600;2016
0801906073;1405;2016
0801906074;1125;2016
0801906075;1074;2016
0801906076;1282;2016
0801906077;1191;2016
0801906078;1302;2016
0801906079;1146;2016
0801906080;1165;2016
0801906081;1269;2016
0801906082;1781;2016
0801906083;1729;2016
0801906084;1462;2016
0801906085;1241;2016
0801906086;970;2016
0801906087;1881;2016
0801906088;1214;2016
0801907001;1580;2016
0801907002;1143;2016
0801907003;1303;2016
0801907004;1521;2016
0801907005;1457;2016
0801907006;947;2016
0801907007;1420;2016
0801907008;1392;2016
0801907009;1178;2016
0801907010;1340;2016
0801907011;1118;2016
0801907012;1577;2016
0801907013;1204;2016
0801907014;906;2016
0801907015;1384;2016
0801907016;1324;2016
0801907017;1644;2016
0801907018;1644;2016
0801907019;1465;2016
0801907020;1590;2016
0801907021;1026;2016
0801907022;1141;2016
0801907023;1317;2016
0801907024;1432;2016
0801907025;1406;2016
0801907026;1053;2016
0801907027;1970;2016
0801907028;1468;2016
0801907029;1287;2016
0801907030;1368;2016
0801907031;1542;2016
0801907032;1347;2016
0801907033;1383;2016
0801907034;1677;2016
0801907035;1742;2016
0801907036;1358;2016
0801907037;1467;2016
0801907038;1319;2016
0801907039;1552;2016
0801907040;1466;2016
0801907041;1334;2016
0801907042;1547;2016
0801907043;1371;2016
0801907044;1297;2016
0801907045;1479;2016
0801907046;1416;2016
0801907047;1428;2016
0801907048;1215;2016
0801907049;1229;2016
0801907050;1137;2016
0801907051;1737;2016
0801907052;1221;2016
0801907053;1458;2016
0801907054;1544;2016
0801907055;1183;2016
0801907056;1166;2016
0801907057;1450;2016
0801907058;1378;2016
0801907059;1286;2016
0801907060;1822;2016
0801907061;1206;2016
0801907062;1286;2016
0801907063;1433;2016
0801907064;1635;2016
0801907065;1602;2016
0801907066;1750;2016
0801907067;1483;2016
0801907068;1217;2016
0801907069;1452;2016
0801907070;1352;2016
0801907071;1321;2016
0801907072;1368;2016
0801907073;1071;2016
0801907074;1710;2016
0801907075;1234;2016
0801907076;1329;2016
0801907077;1321;2016
0801907078;1326;2016
0801907079;1365;2016
0801907080;1786;2016
0801907081;1936;2016
0801907082;1251;2016
0801907083;1239;2016
0801907084;1291;2016
0801907085;1275;2016
0801907086;1428;2016
0801907087;1550;2016
0801907088;1307;2016
0801907089;1313;2016
0801907090;1411;2016
0801907091;1136;2016
0801907092;1317;2016
0801907093;1548;2016
0801907094;1244;2016
0801907095;1505;2016
0801907096;1380;2016
0801907097;924;2016
0801907098;2064;2016
0801907099;1082;2016
0801907100;1179;2016
0801907101;1361;2016
0801907102;583;2016
0801907103;1431;2016
0801907104;1569;2016
0801907105;1085;2016
0801907106;1152;2016
0801907107;1253;2016
0801907108;1212;2016
0801907109;1619;2016
0801907110;1043;2016
0801907111;880;2016
0801907112;1240;2016
0801907113;1197;2016
0801907114;1184;2016
0801907115;1158;2016
0801907116;1460;2016
0801907117;1565;2016
0801907118;1235;2016
0801907119;1171;2016
0801907120;1201;2016
0801907121;1181;2016
0801907122;1329;2016
0801907123;1376;2016
0801908001;1292;2016
0801908002;1265;2016
0801908003;1219;2016
0801908004;1408;2016
0801908005;1151;2016
0801908006;1473;2016
0801908007;1186;2016
0801908008;1577;2016
0801908009;1661;2016
0801908010;1129;2016
0801908011;1190;2016
0801908012;1326;2016
0801908013;1197;2016
0801908014;1170;2016
0801908015;1383;2016
0801908016;1149;2016
0801908017;1343;2016
0801908018;1581;2016
0801908019;1808;2016
0801908020;1250;2016
0801908021;1442;2016
0801908022;1223;2016
0801908023;1344;2016
0801908024;1397;2016
0801908025;1190;2016
0801908026;1394;2016
0801908027;1291;2016
0801908028;1093;2016
0801908029;1516;2016
0801908030;1450;2016
0801908031;1297;2016
0801908032;1290;2016
0801908033;1417;2016
0801908034;1195;2016
0801908035;1752;2016
0801908036;1451;2016
0801908037;1527;2016
0801908038;1472;2016
0801908039;1515;2016
0801908040;1655;2016
0801908041;2331;2016
0801908042;1291;2016
0801908043;1148;2016
0801908044;1384;2016
0801908045;1683;2016
0801908046;1344;2016
0801908047;1541;2016
0801908048;1027;2016
0801908049;1231;2016
0801908050;1424;2016
0801908051;1340;2016
0801908052;867;2016
0801908053;1128;2016
0801908054;1675;2016
0801908055;1883;2016
0801908056;1432;2016
0801908057;1322;2016
0801908058;1583;2016
0801908059;972;2016
0801908060;1182;2016
0801908061;1702;2016
0801908062;1185;2016
0801908063;1123;2016
0801908064;1731;2016
0801908065;1661;2016
0801908066;1570;2016
0801908067;1590;2016
0801908068;1818;2016
0801908069;1458;2016
0801908070;1404;2016
0801908071;1610;2016
0801908072;1192;2016
0801908073;1673;2016
0801908074;1422;2016
0801908075;1824;2016
0801908076;1567;2016
0801908077;1407;2016
0801908078;1500;2016
0801908079;1386;2016
0801908080;1464;2016
0801908081;1557;2016
0801908082;1555;2016
0801908083;1257;2016
0801908084;1161;2016
0801908085;1405;2016
0801908086;1669;2016
0801908087;1222;2016
0801908088;1243;2016
0801908089;1231;2016
0801908090;1227;2016
0801908091;1169;2016
0801908092;1009;2016
0801908093;1248;2016
0801908094;1503;2016
0801908095;1097;2016
0801908096;1428;2016
0801908097;1332;2016
0801908098;1233;2016
0801908099;1339;2016
0801908100;1244;2016
0801908101;1694;2016
0801908102;1456;2016
0801908103;1500;2016
0801908104;1226;2016
0801908105;1595;2016
0801908106;1167;2016
0801908107;1769;2016
0801908108;1790;2016
0801908109;1001;2016
0801908110;1810;2016
0801908111;1500;2016
0801908112;1606;2016
0801908113;1687;2016
0801908114;1830;2016
0801908115;1608;2016
0801908116;1352;2016
0801908215;1417;2016
0801909001;2608;2016
0801909002;2106;2016
0801909003;2077;2016
0801909004;1671;2016
0801909005;1570;2016
0801909006;1235;2016
0801909007;1272;2016
0801909008;1909;2016
0801909009;1419;2016
0801909010;1804;2016
0801909011;1802;2016
0801909013;1882;2016
0801909014;1964;2016
0801909015;1809;2016
0801909016;1401;2016
0801909017;1491;2016
0801909018;1475;2016
0801909019;2369;2016
0801909020;1119;2016
0801909021;1391;2016
0801909022;1185;2016
0801909023;1193;2016
0801909024;1125;2016
0801909025;1155;2016
0801909026;1525;2016
0801909027;1353;2016
0801909028;1622;2016
0801909029;1164;2016
0801909030;1484;2016
0801909031;1169;2016
0801909032;1998;2016
0801909033;3155;2016
0801909034;1394;2016
0801909035;1519;2016
0801909036;1411;2016
0801909037;1343;2016
0801909038;1597;2016
0801909039;1552;2016
0801909040;1530;2016
0801909041;1422;2016
0801909042;1206;2016
0801909043;1341;2016
0801909044;1476;2016
0801909045;1447;2016
0801909046;1296;2016
0801909047;1461;2016
0801909048;1395;2016
0801909049;1279;2016
0801909050;1579;2016
0801909051;1226;2016
0801909052;1151;2016
0801909053;1538;2016
0801909054;1146;2016
0801909055;1691;2016
0801909056;1137;2016
0801909057;1519;2016
0801909058;1458;2016
0801909059;1388;2016
0801909060;1366;2016
0801909061;1709;2016
0801909062;1106;2016
0801909063;1123;2016
0801909064;1198;2016
0801909065;2009;2016
0801909066;1410;2016
0801909067;1371;2016
0801909068;1551;2016
0801909069;908;2016
0801909070;1766;2016
0801909071;1815;2016
0801909072;1473;2016
0801909073;1543;2016
0801909074;1597;2016
0801909075;1474;2016
0801909076;1394;2016
0801909077;1557;2016
0801909078;1432;2016
0801909079;1595;2016
0801909080;1316;2016
0801909081;1794;2016
0801909082;1885;2016
0801909083;1633;2016
0801909084;1707;2016
0801909085;1640;2016
0801909086;1444;2016
0801909087;1286;2016
0801909088;1937;2016
0801909089;1459;2016
0801909090;1629;2016
0801909091;1858;2016
0801909092;1977;2016
0801909093;1337;2016
0801909094;2062;2016
0801909095;2111;2016
0801909156;1255;2016
0801910001;1606;2016
0801910002;1725;2016
0801910003;1584;2016
0801910004;1507;2016
0801910005;1621;2016
0801910006;1720;2016
0801910007;1340;2016
0801910008;1740;2016
0801910009;1566;2016
0801910010;1705;2016
0801910011;1182;2016
0801910012;1831;2016
0801910013;1410;2016
0801910014;1407;2016
0801910015;1804;2016
0801910016;1278;2016
0801910017;1713;2016
0801910018;1345;2016
0801910019;1642;2016
0801910020;1470;2016
0801910021;1319;2016
0801910022;1275;2016
0801910023;1454;2016
0801910024;1475;2016
0801910025;1385;2016
0801910026;1486;2016
0801910027;1551;2016
0801910028;1795;2016
0801910029;1450;2016
0801910030;1708;2016
0801910031;1537;2016
0801910032;1471;2016
0801910033;892;2016
0801910034;1709;2016
0801910035;2040;2016
0801910036;1469;2016
0801910037;1053;2016
0801910038;1627;2016
0801910039;1763;2016
0801910040;1903;2016
0801910041;1552;2016
0801910042;2489;2016
0801910043;1922;2016
0801910044;1495;2016
0801910045;1254;2016
0801910046;1259;2016
0801910047;1872;2016
0801910048;1616;2016
0801910049;1299;2016
0801910050;1632;2016
0801910051;1577;2016
0801910052;2362;2016
0801910053;1817;2016
0801910054;979;2016
0801910055;2600;2016
0801910056;1857;2016
0801910057;1363;2016
0801910058;1137;2016
0801910059;1653;2016
0801910060;1618;2016
0801910061;1801;2016
0801910062;1535;2016
0801910063;1231;2016
0801910064;1698;2016
0801910065;1582;2016
0801910066;2135;2016
0801910067;1976;2016
0801910068;1605;2016
0801910069;2198;2016
0801910070;1665;2016
0801910071;1792;2016
0801910072;2068;2016
0801910073;1486;2016
0801910074;1689;2016
0801910075;1497;2016
0801910076;2079;2016
0801910077;1873;2016
0801910078;2253;2016
0801910079;1773;2016
0801910080;2462;2016
0801910081;1896;2016
0801910082;1921;2016
0801910083;2185;2016
0801910084;1628;2016
0801910085;2005;2016
0801910086;1978;2016
0801910087;1763;2016
0801910088;1610;2016
0801910089;1771;2016
0801910090;1404;2016
0801910091;1965;2016
0801910092;1508;2016
0801910093;1112;2016
0801910094;2724;2016
0801910095;1317;2016
0801910096;1579;2016
0801910097;1593;2016
0801910098;1879;2016
0801910099;1097;2016
0801910100;1583;2016
0801910101;1451;2016
0801910102;2538;2016
0801910103;2199;2016
0801910104;1649;2016
0801910105;2278;2016
0801910106;991;2016
0801910107;1534;2016
0801910108;1326;2016
0801910109;1526;2016
0801910110;1625;2016
0801910111;1287;2016
0801910112;1570;2016
0801910113;1183;2016
0801910114;1403;2016
0801910115;1468;2016
0801910116;1869;2016
0801910117;1293;2016
0801910118;1001;2016
0801910119;1129;2016
0801910120;1450;2016
0801910121;1545;2016
0801910122;1532;2016
0801910123;1403;2016
0801910124;1110;2016
0801910125;1121;2016
0801910126;1064;2016
0801910127;1014;2016
0801910128;1617;2016
0801910129;1188;2016
0801910130;1204;2016
0801910131;1182;2016
0801910132;1233;2016
0801910133;1696;2016
0801910134;1535;2016
0801910135;1244;2016
0801910136;1372;2016
0801910137;1555;2016
0801910138;1540;2016
0801910139;1622;2016
0801910140;1582;2016
0801910141;1097;2016
0801910142;1568;2016
0801910143;1698;2016
0801910234;1892;2016
0801910235;1321;2016
0801910236;1636;2016
0801910237;760;2016
0802001001;2259;2016
0802001002;1975;2016
0802001003;2502;2016
0802101001;75;2016
0802201001;1544;2016
0802201002;1280;2016
0802201003;899;2016
0802201004;2069;2016
0802201005;1838;2016
0802201006;885;2016
0802202001;1007;2016
0802202002;893;2016
0802202003;1512;2016
0802202004;1785;2016
0802202005;1171;2016
0802203001;531;2016
0802204001;761;2016
0802301001;1870;2016
0802301002;2028;2016
0802301003;2115;2016
0802301004;1995;2016
0802301005;907;2016
0802401001;495;2016
0802501001;2014;2016
0802601001;263;2016
0802701001;943;2016
0802801001;1351;2016
0802901001;2377;2016
0802901002;2176;2016
0803001001;3587;2016
0803001002;3700;2016
0803101001;673;2016
0803101002;2751;2016
0803201001;2766;2016
0803301001;1605;2016
0803301002;2535;2016
0803301003;911;2016
0803302001;2269;2016
0803303001;1849;2016
0803303002;966;2016
0803303003;2258;2016
0803303004;2640;2016
0803303005;2104;2016
0803401001;953;2016
0803501001;1803;2016
0803501002;1142;2016
0803501003;2514;2016
0803502001;971;2016
0803502002;2237;2016
0803503001;2619;2016
0803503002;2560;2016
0803503003;2028;2016
0803503004;2443;2016
0803601001;191;2016
0803701001;2418;2016
0803801001;2057;2016
0803901001;470;2016
0804001001;1960;2016
0804001002;1892;2016
0804001003;1300;2016
0804001004;2496;2016
0804001005;1344;2016
0804001006;1338;2016
0804001007;2663;2016
0804001008;1291;2016
0804101001;2224;2016
0804101002;2139;2016
0804101003;2426;2016
0804101004;1933;2016
0804101005;1627;2016
0804101006;1823;2016
0804101007;1767;2016
0804101008;1998;2016
0804201001;2873;2016
0804301001;2418;2016
0804301002;1989;2016
0804401001;2309;2016
0804402001;1284;2016
0804402002;1634;2016
0804501001;93;2016
0804601001;1478;2016
0804601002;1911;2016
0804601003;1581;2016
0804602001;2545;2016
0804602002;1990;2016
0804602003;1783;2016
0804602004;3165;2016
0804603001;3705;2016
0804701001;1050;2016
0804701002;1566;2016
0804701003;971;2016
0804702001;1188;2016
0804801001;791;2016
0804901001;1528;2016
0805001001;176;2016
0805101001;1142;2016
0805101002;1405;2016
0805101003;1820;2016
0805101004;2009;2016
0805101005;1662;2016
0805101006;1600;2016
0805101007;2394;2016
0805101008;2022;2016
0805101009;2411;2016
0805101010;1384;2016
0805101011;1115;2016
0805101012;1006;2016
0805101013;2106;2016
0805101014;1557;2016
0805201001;157;2016
0805301001;1849;2016
0805301002;1735;2016
0805401001;2589;2016
0805401002;1060;2016
0805401003;2112;2016
0805401004;2399;2016
0805401005;2308;2016
0805401006;1809;2016
0805501001;726;2016
0805601001;1002;2016
0805601002;2139;2016
0805601003;3248;2016
0805601004;2439;2016
0805601005;2023;2016
0805601006;2968;2016
0805601007;3980;2016
0805602001;1832;2016
0805602002;1783;2016
0805602003;1902;2016
0805602004;2869;2016
0805602005;1908;2016
0805602006;1739;2016
0805603001;1160;2016
0805603002;2008;2016
0805603003;2853;2016
0805603004;2482;2016
0805603005;1189;2016
0805604001;3677;2016
0805604002;2502;2016
0805604003;3008;2016
0805604004;3417;2016
0805605001;3458;2016
0805605002;3523;2016
0805605003;3116;2016
0805605004;2667;2016
0805701001;69;2016
0805801001;2193;2016
0805901001;448;2016
0806001001;165;2016
0806101001;1995;2016
0806201001;1287;2016
0806301001;573;2016
0806401001;2351;2016
0806501001;1545;2016
0806601001;1807;2016
0806701001;1645;2016
0806701002;1377;2016
0806701003;1865;2016
0806701004;2523;2016
0806801001;2546;2016
0806801002;2032;2016
0806801003;1050;2016
0806801004;2408;2016
0806801005;825;2016
0806901001;2447;2016
0806901003;1949;2016
0807001001;349;2016
0807101001;300;2016
0807201001;1276;2016
0807201002;2648;2016
0807201003;1695;2016
0807201004;871;2016
0807201005;1027;2016
0807201006;1177;2016
0807201007;1033;2016
0807201008;1135;2016
0807201009;739;2016
0807201010;1427;2016
0807201011;1140;2016
0807301001;2415;2016
0807301002;1709;2016
0807301003;1523;2016
0807301004;2109;2016
0807301005;1260;2016
0807301006;821;2016
0807301007;1961;2016
0807301008;1921;2016
0807301009;998;2016
0807301010;1319;2016
0807301011;1112;2016
0807301012;1073;2016
0807301013;1404;2016
0807301014;1347;2016
0807302001;3291;2016
0807302002;2554;2016
0807303001;1180;2016
0807303002;925;2016
0807303003;916;2016
0807303004;4022;2016
0807303005;1732;2016
0807303006;924;2016
0807303007;1333;2016
0807303008;1477;2016
0807303009;871;2016
0807304001;1266;2016
0807304002;682;2016
0807304003;1458;2016
0807304004;1045;2016
0807304005;750;2016
0807304006;1203;2016
0807304007;1148;2016
0807304008;1535;2016
0807304009;915;2016
0807304010;1119;2016
0807304011;1087;2016
0807304012;1401;2016
0807304013;1629;2016
0807304014;1129;2016
0807304015;1029;2016
0807304016;1244;2016
0807304017;1171;2016
0807304018;799;2016
0807304019;938;2016
0807305001;814;2016
0807305002;954;2016
0807305003;1045;2016
0807305004;906;2016
0807305005;950;2016
0807305006;1006;2016
0807305007;1270;2016
0807305008;1127;2016
0807305009;891;2016
0807305010;1173;2016
0807306001;803;2016
0807306002;1165;2016
0807306003;648;2016
0807306004;633;2016
0807306005;870;2016
0807306006;676;2016
0807306007;941;2016
0807306008;728;2016
0807306009;1910;2016
0807306010;931;2016
0807306011;636;2016
0807306012;805;2016
0807306013;763;2016
0807306014;924;2016
0807306015;1050;2016
0807306016;708;2016
0807401001;997;2016
0807401002;1688;2016
0807401003;1695;2016
0807401004;2389;2016
0807401005;1888;2016
0807401006;1956;2016
0807401007;1150;2016
0807401008;1116;2016
0807401009;833;2016
0807401010;896;2016
0807501001;1526;2016
0807501002;2516;2016
0807501003;1112;2016
0807601001;2709;2016
0807601002;2069;2016
0807601003;1787;2016
0807601004;2617;2016
0807601005;904;2016
0807601006;1856;2016
0807602001;2447;2016
0807602002;1717;2016
0807602003;1856;2016
0807602004;1932;2016
0807602005;1872;2016
0807701001;2222;2016
0807701002;1256;2016
0807701003;1609;2016
0807701004;1299;2016
0807701005;1692;2016
0807702001;1369;2016
0807702002;1393;2016
0807702003;1715;2016
0807702004;1408;2016
0807702005;1605;2016
0807702006;1713;2016
0807703001;1538;2016
0807703002;2120;2016
0807704001;754;2016
0807705001;951;2016
0807706001;799;2016
0807707001;1201;2016
0807708001;1889;2016
0807708002;2161;2016
0807709001;1613;2016
0807709002;1787;2016
0807710001;1960;2016
0807710002;1374;2016
0807710003;2158;2016
0807710004;1517;2016
0807710005;1276;2016
0807710006;1642;2016
0807710007;1567;2016
0807710008;2145;2016
0807801001;247;2016
0807901001;404;2016
0808001001;40;2016
0808101001;462;2016
0808201001;1452;2016
0808301001;2298;2016
0808401001;1401;2016
0808501001;1363;2016
0808601001;2290;2016
0808601002;2376;2016
0808601003;3174;2016
0808601004;2884;2016
0808601005;2889;2016
0808601006;1854;2016
0808601007;1745;2016
0808602001;2205;2016
0808701001;187;2016
0808801001;2371;2016
0808801002;1930;2016
0808801003;2621;2016
0808802001;2884;2016
0808802002;2683;2016
0808802003;2559;2016
0808802004;864;2016
0808901001;1816;2016
0808901002;1617;2016
0808901003;1810;2016
0808901004;1732;2016
0808901005;1325;2016
0808901006;1123;2016
0808901007;2333;2016
0808901008;2974;2016
0808902001;2085;2016
0808902002;1096;2016
0808902003;997;2016
0808902004;1735;2016
0808902005;1368;2016
0808902006;1710;2016
0808902007;951;2016
0808902008;1624;2016
0808902009;1706;2016
0808902010;923;2016
0808903001;1240;2016
0808903002;1092;2016
0808903003;2223;2016
0808903004;1595;2016
0808903005;2047;2016
0808903006;1148;2016
0808903007;1042;2016
0808903008;2983;2016
0808904001;2152;2016
0808904002;1819;2016
0809001001;160;2016
0809101001;2301;2016
0809101002;2390;2016
0809102001;2547;2016
0809201001;1594;2016
0809202001;467;2016
0809202002;1476;2016
0809202003;1292;2016
0809301001;29;2016
0809401001;2091;2016
0809501001;79;2016
0809601001;2111;2016
0809601003;1869;2016
0809601004;2530;2016
0809601005;1729;2016
0809601006;1306;2016
0809601009;2504;2016
0809601010;1671;2016
0809601011;1877;2016
0809602001;2075;2016
0809602002;1316;2016
0809602003;654;2016
0809602004;1899;2016
0809602005;1652;2016
0809602006;1844;2016
0809602007;1436;2016
0809603001;2148;2016
0809603002;2039;2016
0809603003;1477;2016
0809603004;2013;2016
0809603005;1735;2016
0809603006;1392;2016
0809603007;1020;2016
0809603008;1459;2016
0809603009;1117;2016
0809603010;1394;2016
0809604001;2222;2016
0809604002;2224;2016
0809604003;1107;2016
0809604004;1835;2016
0809604006;1099;2016
0809604007;2387;2016
0809604008;1366;2016
0809604009;1688;2016
0809604010;2320;2016
0809604011;1659;2016
0809701001;1426;2016
0809801001;1776;2016
0809801002;1365;2016
0809901001;897;2016
0810001001;2559;2016
0810101001;2206;2016
0810101002;1511;2016
0810101003;742;2016
0810101004;854;2016
0810101005;1127;2016
0810101006;1687;2016
0810101007;1577;2016
